ISO3,Rate1990,Rate1991,Rate1992,Rate1993,Rate1994,Rate1995,Rate1996,Rate1997,Rate1998,Rate1999,Rate2000,Rate2001,Rate2002,Rate2003,Rate2004,Rate2005,Rate2006,Rate2007,Rate2008,Rate2009,Rate2010,Rate2011,Rate2012,Rate2013,Rate2014,Rate2015,Rate2016,Rate2017
AFG,10.318504127954876,10.327010450004105,10.27141118904158,10.376122868341051,10.575914544146052,10.682349564482784,10.720222847465996,10.791822237796229,10.862407443715808,10.97091516651595,11.094743220064082,11.175178260234976,11.054472413019294,10.931092668492886,10.839790252168395,10.65562638271481,10.538475268586357,10.391128748094092,10.219153628244715,10.03665661264196,9.875392582374255,9.721869254591322,9.570650579004132,9.447661386713214,9.346730598226989,9.319113990673795,9.251599861848334,9.188568399919934
ALB,3.985169898365893,4.199006705063136,4.094200099620952,3.993795703516132,3.832123513912772,3.996583734390638,4.269622916471264,4.563113962819239,4.759407813174337,4.80816867262347,4.867019570667372,5.051083948957809,5.2661040231728355,5.464625751073079,5.631023638760027,5.616377499029599,5.50065241930541,5.329978650563121,5.421475587525737,5.286600485109708,5.257754012535065,5.239571863393478,5.19961656388038,5.196816017421632,5.216570182910869,5.1910832889368255,5.1555791065945815,5.108780608470021
DZA,4.838862333596875,4.84281793097349,4.867316202217924,4.914074336691695,5.0511819769395805,5.092691652885594,5.140831329572161,5.195113718876333,5.19407668778325,5.262441024865726,5.268358671896774,5.26595622642517,5.249789224653766,5.098786349958471,5.039528554486609,4.967048952609057,4.881888921617778,4.79079219172001,4.691237622630691,4.603041345383444,4.507493343508648,4.462070327046554,4.388441622949401,4.349270120454093,4.329456577276137,4.291621910651996,4.187814700214089,4.12430646193392
ASM,6.846650053350449,6.8111481912523155,6.764537516408605,6.7462455838512705,6.74661508871285,6.719024621547219,6.688029413357487,6.713257908358884,6.643273316940315,6.533269967350807,6.614259369113705,6.6642335575405856,6.655360533447727,6.6405363021646755,6.513566491767076,6.37016690594847,6.294535667881921,6.360882069935699,6.4770876980572725,6.474943098703302,6.559889928687776,6.609073414927567,6.6418777655994115,6.663810971134486,6.684827127764758,6.792609724878695,6.753623477370727,6.738544883871505
AND,11.014175003993364,10.97603913783635,10.935980597176671,10.743873274643496,10.515151734562862,10.259153376719762,10.04578315738255,10.035720197091644,9.860837464470707,9.7201756796654,9.533035020766464,9.406466059552312,9.271336458062054,9.208443644394269,9.205391431789431,9.06700182510707,8.947916813412736,8.83750200623525,8.738516868920419,8.657292719820468,8.562680063192873,8.436108492207675,8.387059022690247,8.290929386526129,8.083799954684824,7.967667371052503,7.944369505043817,7.912272825130796
AGO,15.99665752645442,16.067177094540195,16.192126269411833,16.509889933089877,16.710763089151556,16.518420341258448,15.84772858630591,15.574575213261074,16.4533829288989,15.982543913999988,15.780428640763734,15.404439509038957,14.947011679978432,14.834511567790589,14.900544457784775,14.413478315381605,14.23917994284629,13.880481734401396,13.611037281005396,13.390233762213713,13.177998007393636,13.048442905998089,12.931370200533346,12.740104784941169,12.335099860015674,12.169014682016732,11.988163869286756,11.966305347435878
ATG,2.593695369544478,2.592240204078693,2.5921901473232394,2.5933039524054835,2.5883095758672496,2.5839758701503297,2.603548462355209,2.6377120168876247,2.695067380837633,2.6679516531724117,2.6246418951490966,2.5921344572413596,2.5830968039307822,2.5967125110312623,2.595665222362275,2.60167832992253,2.5899629385087266,2.585438932233646,2.6271496947580726,2.645781765362733,2.6602301681397327,2.6879189328790267,2.657853905633778,2.659581833268507,2.6775671497862943,2.6825006871484764,2.66448170217984,2.6501244964816064
ARG,9.90555697714996,10.204978656557143,10.865404989676549,11.047213100767296,11.37251174677364,11.583565738337226,12.042041125971156,12.28664483883892,12.33248726162954,12.539910774651034,12.288355272738343,12.463502786109302,12.449927559134611,11.833602214268367,11.045600389929762,10.899047518840971,10.866983969009082,11.181628926443771,11.123394255251538,11.04245787982319,10.78392195547514,10.904340894235869,11.06427887358879,11.074010405223705,10.820288684217376,10.570320576512202,10.627445853661277,10.609681948258856
ARM,3.417877348297879,3.561947093934063,3.920208507258295,4.204316332060532,4.342590139100489,4.414202708495505,4.264053484539134,4.044671408135196,3.839097610651152,3.735621594648448,3.7154074070384664,3.906863427676716,4.142097029127148,4.3865873692069535,5.023305247111874,5.821915805610639,6.792787802212222,7.024677927779269,7.697774556512207,8.128305618246564,8.513010799097472,8.749870878138458,8.847523398046842,8.60233867733516,8.517576391146385,8.522066347590416,8.46402359304092,8.263799266107089
AUS,12.800082233357488,12.645746696961098,12.626961822792014,12.26537156956456,12.69029247505257,12.806768104977364,13.088745003972486,13.368404835905537,13.46846820095814,13.029138659026714,12.443258564720676,11.794196279732096,11.356992731158428,10.975373922318475,10.653485112019942,10.414252583638602,10.255009105545078,10.540822095862206,10.696836053417954,10.740311520945712,10.758436529941871,10.645355373367524,10.49414470795234,10.533589553159173,10.96272686071075,11.277802198153564,11.081869871307234,11.04688494037095
AUT,19.84459146891124,19.834309873115313,19.338739534123626,19.228552062369808,18.87882050382834,18.550008019038852,17.931824477910446,16.896497208629476,16.427254981102895,16.072017843881017,15.91662966564223,15.382627135911392,15.126149921919088,14.657625853193071,14.209846329967847,13.797734612665154,13.088690801406903,12.900152503933276,12.487580377488412,12.87962117418108,12.782929560141527,12.45983785312364,12.13321779667072,11.891660917507098,11.841427022802556,11.770476394482763,11.420545843824016,11.202156990304273
AZE,3.1742169343850115,3.085963662713328,3.1258931745761265,3.056428578297814,2.995005953597592,2.836171386626629,2.771127823971524,2.75538917078581,2.7753348904670907,2.8984894534130667,3.1374346031712412,3.5302231923983056,3.724613234666036,4.0301796734464865,4.3288531384434625,4.601097706301279,4.833657394935614,5.1431272111792925,4.945721798094154,4.798191802849979,4.726909308758024,4.649638539323609,4.537995341884458,4.436538839359101,4.332896802410021,4.202942846986658,4.107187878409732,4.071032014236347
